,Year-Rank,Movie,Year,Imdb,Metascore,Votes,Genre,Runtime,Cert,Gross,Director,Stars,n_imdb
29,30,Cheech and Chong's Next Movie,1980,6.1,66,10486.0,"
Comedy, Crime, Sci-Fi            ",99 min,-,41675194.0,Tommy Chong,"['Cheech Marin', 'Tommy Chong', 'Evelyn Guerrero', 'Betty Kennedy']",61.0
30,31,Cannibal Holocaust,1980,5.9,22,44676.0,"
Adventure, Horror            ",95 min,-,44676.0,Ruggero Deodato,"['Robert Kerman', 'Francesca Ciardi', 'Perry Pirkanen', 'Luca Barbareschi']",59.0
31,32,The Blue Lagoon,1980,5.7,31,56702.0,"
Adventure, Drama, Romance            ",104 min,-,58853106.0,Randal Kleiser,"['Brooke Shields', 'Christopher Atkins', 'Leo McKern', 'William Daniels']",57.0
32,33,Prom Night,1980,5.4,45,12456.0,"
Horror, Thriller            ",92 min,-,14796236.0,Paul Lynch,"['Leslie Nielsen', 'Jamie Lee Curtis', 'Casey Stevens', 'Anne-Marie Martin']",54.0
33,34,Popeye,1980,5.2,64,26180.0,"
Adventure, Comedy, Family            ",114 min,-,49823057.0,Robert Altman,"['Robin Williams', 'Shelley Duvall', 'Ray Walston', 'Paul Dooley']",52.0
34,35,Smokey and the Bandit II,1980,5.2,41,12999.0,"
Action, Comedy            ",100 min,-,66132626.0,Hal Needham,"['Burt Reynolds', 'Jackie Gleason', 'Jerry Reed', 'Dom DeLuise']",52.0
35,36,Xanadu,1980,5.1,35,10477.0,"
Fantasy, Musical, Romance            ",96 min,-,22762571.0,Robert Greenwald,"['Olivia Newton-John', 'Gene Kelly', 'Michael Beck', 'James Sloyan']",51.0
36,1,Raiders of the Lost Ark,1981,8.5,85,775428.0,"
Action, Adventure            ",115 min,PG,248159971.0,Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']",85.0
37,2,Das Boot,1981,8.4,86,199944.0,"
Adventure, Drama, Thriller            ",149 min,R,11487676.0,Wolfgang Petersen,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann', 'Hubertus Bengsch']",84.0
38,3,On Golden Pond,1981,7.7,68,24496.0,"
Drama            ",109 min,-,119285432.0,Mark Rydell,"['Katharine Hepburn', 'Henry Fonda', 'Jane Fonda', 'Doug McKeon']",77.0
39,4,An American Werewolf in London,1981,7.6,60,78274.0,"
Comedy, Horror            ",97 min,-,30565292.0,John Landis,"['David Naughton', 'Jenny Agutter', 'Joe Belcher', 'Griffin Dunne']",76.0
40,5,Mad Max 2,1981,7.6,77,150589.0,"
Action, Adventure, Sci-Fi            ",95 min,-,12465371.0,George Miller,"['Mel Gibson', 'Bruce Spence', 'Michael Preston', 'Max Phipps']",76.0
41,6,The Evil Dead,1981,7.5,70,163332.0,"
Horror            ",85 min,NC-17,2400000.0,Sam Raimi,"['Bruce Campbell', 'Ellen Sandweiss', 'Richard DeManincor', 'Betsy Baker']",75.0
42,7,Gallipoli,1981,7.5,65,33101.0,"
Adventure, Drama, History            ",110 min,-,5732587.0,Peter Weir,"['Mel Gibson', 'Mark Lee', 'Bill Kerr', 'Harold Hopkins']",75.0
43,8,Body Heat,1981,7.4,77,26673.0,"
Crime, Drama, Romance            ",113 min,-,24058838.0,Lawrence Kasdan,"['William Hurt', 'Kathleen Turner', 'Richard Crenna', 'Ted Danson']",74.0
44,9,Excalibur,1981,7.4,56,51947.0,"
Adventure, Drama, Fantasy            ",140 min,PG,34967437.0,John Boorman,"['Nigel Terry', 'Helen Mirren', 'Nicholas Clay', 'Cherie Lunghi']",74.0
45,10,Blow Out,1981,7.4,85,35027.0,"
Mystery, Thriller            ",108 min,-,13747234.0,Brian De Palma,"['John Travolta', 'Nancy Allen', 'John Lithgow', 'Dennis Franz']",74.0
46,11,Thief,1981,7.4,78,20397.0,"
Action, Crime, Drama            ",122 min,-,11492915.0,Michael Mann,"['James Caan', 'Tuesday Weld', 'Willie Nelson', 'Jim Belushi']",74.0
47,12,Reds,1981,7.4,76,18560.0,"
Biography, Drama, History            ",195 min,-,40382659.0,Warren Beatty,"['Warren Beatty', 'Diane Keaton', 'Edward Herrmann', 'Jerzy Kosinski']",74.0
48,13,Escape from New York,1981,7.2,76,107225.0,"
Action, Sci-Fi            ",99 min,-,25244700.0,John Carpenter,"['Kurt Russell', 'Lee Van Cleef', 'Ernest Borgnine', 'Donald Pleasence']",72.0
49,14,Chariots of Fire,1981,7.2,78,47421.0,"
Biography, Drama, Sport            ",125 min,-,58972904.0,Hugh Hudson,"['Ben Cross', 'Ian Charleson', 'Nicholas Farrell', 'Nigel Havers']",72.0
50,15,Southern Comfort,1981,7.2,63,13733.0,"
Action, Thriller            ",106 min,-,5000000.0,Walter Hill,"['Keith Carradine', 'Powers Boothe', 'Fred Ward', 'Franklyn Seales']",72.0
51,16,The Great Muppet Caper,1981,7.2,70,11646.0,"
Adventure, Comedy, Crime            ",97 min,-,31206251.0,Jim Henson,"['Jim Henson', 'Frank Oz', 'Dave Goelz', 'Jerry Nelson']",72.0
52,17,Time Bandits,1981,7.0,79,51675.0,"
Adventure, Comedy, Fantasy            ",116 min,-,42365581.0,Terry Gilliam,"['Sean Connery', 'Shelley Duvall', 'John Cleese', 'Katherine Helmond']",70.0
53,18,The French Lieutenant's Woman,1981,7.0,64,10529.0,"
Drama, Romance            ",124 min,-,22600000.0,Karel Reisz,"['Meryl Streep', 'Jeremy Irons', 'Hilton McRae', 'Emily Morgan']",70.0
54,19,Stripes,1981,6.9,68,56551.0,"
Comedy, War            ",106 min,R,85297000.0,Ivan Reitman,"['Bill Murray', 'John Candy', 'Harold Ramis', 'Warren Oates']",69.0
55,20,Clash of the Titans,1981,6.9,59,36580.0,"
Action, Adventure, Family            ",118 min,-,41092328.0,Desmond Davis,"['Laurence Olivier', 'Harry Hamlin', 'Claire Bloom', 'Maggie Smith']",69.0
56,21,Arthur,1981,6.9,69,23416.0,"
Comedy, Romance            ",97 min,-,95461682.0,Steve Gordon,"['Dudley Moore', 'Liza Minnelli', 'John Gielgud', 'Geraldine Fitzgerald']",69.0
57,22,Absence of Malice,1981,6.9,64,10494.0,"
Drama, Romance, Thriller            ",116 min,-,40716963.0,Sydney Pollack,"['Paul Newman', 'Sally Field', 'Bob Balaban', 'Melinda Dillon']",69.0
58,23,For Your Eyes Only,1981,6.8,54,81082.0,"
Action, Adventure, Thriller            ",127 min,-,62300000.0,John Glen,"['Roger Moore', 'Carole Bouquet', 'Topol', 'Lynn-Holly Johnson']",68.0
59,24,Scanners,1981,6.8,60,41191.0,"
Horror, Sci-Fi, Thriller            ",103 min,-,14225876.0,David Cronenberg,"[""Jennifer O'Neill"", 'Stephen Lack', 'Patrick McGoohan', 'Lawrence Dane']",68.0
60,25,Heavy Metal,1981,6.7,51,27286.0,"
Animation, Adventure, Fantasy            ",86 min,-,27286.0,Gerald Potterton,"['Richard Romanus', 'John Candy', 'Joe Flaherty', 'Don Francks']",67.0
61,26,Dragonslayer,1981,6.7,68,12708.0,"
Action, Adventure, Fantasy            ",108 min,-,14110013.0,Matthew Robbins,"['Peter MacNicol', 'Caitlin Clarke', 'Ralph Richardson', 'John Hallam']",67.0
62,27,Taps,1981,6.7,49,14878.0,"
Drama            ",126 min,-,35856053.0,Harold Becker,"['George C. Scott', 'Timothy Hutton', 'Ronny Cox', 'Sean Penn']",67.0
63,28,Mommie Dearest,1981,6.7,55,12553.0,"
Biography, Drama            ",129 min,R,19032261.0,Frank Perry,"['Faye Dunaway', 'Diana Scarwid', 'Steve Forrest', 'Howard Da Silva']",67.0
64,29,Halloween II,1981,6.6,40,60727.0,"
Horror            ",92 min,-,25533818.0,Rick Rosenthal,"['Jamie Lee Curtis', 'Donald Pleasence', 'Charles Cyphers', 'Jeffrey Kramer']",66.0
65,30,The Howling,1981,6.6,68,26523.0,"
Horror            ",91 min,-,17986000.0,Joe Dante,"['Dee Wallace', 'Patrick Macnee', 'Dennis Dugan', 'Christopher Stone']",66.0
