 Year-Rank Movie Year Imdb Metascore Votes Genre Runtime Cert Gross Director Stars
Comedy, Crime, Sci-Fi            " "99 min" - 41675194.0 "Tommy Chong" "['Cheech Marin', 'Tommy Chong', 'Evelyn Guerrero', 'Betty Kennedy']"
30 31 "Cannibal Holocaust" (1980) 5.9 22 47680 "
Adventure, Horror            " "95 min" - 44676.0 "Ruggero Deodato" "['Robert Kerman', 'Francesca Ciardi', 'Perry Pirkanen', 'Luca Barbareschi']"
31 32 "The Blue Lagoon" (1980) 5.7 31 47680 "
Adventure, Drama, Romance            " "104 min" - 58853106.0 "Randal Kleiser" "['Brooke Shields', 'Christopher Atkins', 'Leo McKern', 'William Daniels']"
32 33 "Prom Night" (1980) 5.4 45 47680 "
Horror, Thriller            " "92 min" - 14796236.0 "Paul Lynch" "['Leslie Nielsen', 'Jamie Lee Curtis', 'Casey Stevens', 'Anne-Marie Martin']"
33 34 Popeye (1980) 5.2 64 47680 "
Adventure, Comedy, Family            " "114 min" - 49823057.0 "Robert Altman" "['Robin Williams', 'Shelley Duvall', 'Ray Walston', 'Paul Dooley']"
34 35 "Smokey and the Bandit II" (1980) 5.2 41 47680 "
Action, Comedy            " "100 min" - 66132626.0 "Hal Needham" "['Burt Reynolds', 'Jackie Gleason', 'Jerry Reed', 'Dom DeLuise']"
35 36 Xanadu (1980) 5.1 35 47680 "
Fantasy, Musical, Romance            " "96 min" - 22762571.0 "Robert Greenwald" "['Olivia Newton-John', 'Gene Kelly', 'Michael Beck', 'James Sloyan']"
36 1 "Raiders of the Lost Ark" (1981) 8.5 85 47680 "
Action, Adventure            " "115 min" PG 248159971.0 "Steven Spielberg" "['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']"
37 2 "Das Boot" (1981) 8.4 86 47680 "
Adventure, Drama, Thriller            " "149 min" R 11487676.0 "Wolfgang Petersen" "['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann', 'Hubertus Bengsch']"
38 3 "On Golden Pond" (1981) 7.7 68 47680 "
